iShares MSCI World ETF
Fund Holdings as of,"Jul 02, 2025"
Inception Date,"Jan 10, 2012"
Shares Outstanding,"29,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","253,474,105.50","5.07","253,474,105.50","1,611,918.00","157.25","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","229,118,039.50","4.58","229,118,039.50","466,550.00","491.09","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","210,823,544.04","4.21","210,823,544.04","992,391.00","212.44","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","138,762,702.48","2.77","138,762,702.48","630,969.00","219.92","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","103,257,146.85","2.06","103,257,146.85","144,705.00","713.57","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","79,644,791.00","1.59","79,644,791.00","295,090.00","269.90","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","68,837,316.24","1.38","68,837,316.24","385,341.00","178.64","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","60,288,518.70","1.21","60,288,518.70","190,998.00","315.65","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","58,839,402.72","1.18","58,839,402.72","327,322.00","179.76","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","54,015,328.00","1.08","54,015,328.00","184,984.00","292.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","42,476,353.92","0.85","42,476,353.92","88,404.00","480.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","41,482,632.96","0.83","41,482,632.96","53,232.00","779.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","40,327,592.78","0.81","40,327,592.78","113,849.00","354.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","36,262,603.78","0.72","36,262,603.78","28,223.00","1,284.86","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","31,690,893.75","0.63","31,690,893.75","285,375.00","111.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","30,228,306.16","0.60","30,228,306.16","53,833.00","561.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
